NOC2L,-69.14856098618128
KLHL17,-76.7906682362685
PLEKHN1,-64.53024018587435
PERM1,-74.65595562729983
HES4,-64.36532194093473
ISG15,-54.20579652967517
AGRN,-71.2830275923398
C1orf159,-78.51594139918815
TNFRSF18,-55.21574361832546
TNFRSF4,-60.88583825858039
SDF4,-76.44266620644689
B3GALT6,-55.94427789917377
C1QTNF12,-72.96163204878384
UBE2J2,-53.137615308215146
SCNN1D,-57.33109115692075
ACAP3,-62.62856339484135
PUSL1,-60.45341076196027
INTS11,-70.36830097797284
CPTP,-66.88588726977916
TAS1R3,-59.43640896665825
DVL1,-57.637772135069255
MXRA8,-65.73245369838182
AURKAIP1,-66.8829590474812
CCNL2,-60.995218857351276
MRPL20,-65.00807801031965
ANKRD65,-66.31476908912357
VWA1,-64.95073072008984
ATAD3C,-61.242642573772
ATAD3B,-64.02487179444861
ATAD3A,-63.30205709573052
TMEM240,-66.38106138568645
SSU72,-63.552581008046104
FNDC10,-60.979479026916465
MIB2,-57.70844021070313
MMP23B,-52.88074940773332
CDK11B,-60.501575784795506
SLC35E2B,-73.95346683147038
CDK11A,-52.51117880881607
SLC35E2,-57.91563360461802
NADK,-55.94968560831529
GNB1,-60.65011550590424
CALML6,-63.557505837564705
TMEM52,-75.70131208112805
GABRD,-54.559052560849395
PRKCZ,-66.62663494744258
FAAP20,-69.88995680434357
SKI,-67.03296736486537
MORN1,-62.04585587280427
RER1,-55.29690985613405
PEX10,-55.05775321094674
PLCH2,-52.94606136327849
PANK4,-81.03151528412054
TNFRSF14,-55.42680530479788
FAM213B,-57.93209665269457
MMEL1,-60.1791509000422
TTC34,-82.14607718059892
MEGF6,-68.46108269439746
TPRG1L,-65.53326469274917
TP73,-60.016830048050224
WRAP73,-63.397688545277774
SMIM1,-61.96953092720946
LRRC47,-54.16495478620175
CEP104,-54.65878756620896
DFFB,-56.956902254736264
C1orf174,-50.270314423641736
KCNAB2,-64.63349042016357
NPHP4,-47.22572409851571
RNF207,-63.82869866882686
RPL22,-64.35898501325295
ICMT,-51.58106930564173
GPR153,-48.444599122498076
ACOT7,-55.14908620477313
ESPN,-48.96016111951464
TNFRSF25,-78.5183513958347
PLEKHG5,-67.96156515156359
NOL9,-65.39039889908787
ZBTB48,-63.43591427269068
PHF13,-67.17617895984553
KLHL21,-57.87608268722697
THAP3,-65.23795986508037
DNAJC11,-80.65044082965548
CAMTA1,-60.41277978136341
VAMP3,-64.98996978669608
PER3,-74.94408457112505
UTS2,-58.420153069840254
TNFRSF9,-65.66483661321847
PARK7,-67.09982962237176
ERRFI1,-61.212086916700684
SLC45A1,-69.91550361887963
RERE,-55.121356247064796
ENO1,-58.566008645306255
CA6,-58.306454686829454
SLC2A5,-63.18488073622497
GPR157,-67.53435214067387
H6PD,-73.25100004258998
SPSB1,-56.52931264157385
SLC25A33,-59.2789033725541
TMEM201,-69.18867031189502
PIK3CD,-65.51644660713922
CLSTN1,-55.77524885348173
CTNNBIP1,-54.29294266787717
LZIC,-61.838517081568966
NMNAT1,-66.48427489206463
RBP7,-55.50024762917457
UBE4B,-79.86268199036462
KIF1B,-63.57559741476972
PGD,-60.70549759360155
CENPS,-54.649327339162795
CORT,-57.285315923827966
DFFA,-56.29626313553662
PEX14,-60.60464870603613
CASZ1,-68.6197022457067
C1orf127,-62.51116903825347
TARDBP,-72.35509712981643
MASP2,-67.795694702867
SRM,-77.31361210895565
EXOSC10,-61.17240820163627
ANGPTL7,-54.82414223675157
MTOR,-69.32345896268006
UBIAD1,-70.53026636872836
DISP3,-67.53788881082825
FBXO44,-67.38542572927118
FBXO2,-68.28348231619016
FBXO6,-55.998459067196166
MAD2L2,-75.07097981338993
DRAXIN,-52.15522493473668
AGTRAP,-68.39004782070752
MTHFR,-63.99085779362632
CLCN6,-60.74175897649906
NPPA,-57.45679121105616
NPPB,-51.430227550047135
KIAA2013,-66.14304376621872
PLOD1,-72.07591029843425
MFN2,-58.03507185680452
MIIP,-60.19903904036285
TNFRSF8,-89.45052826754119
TNFRSF1B,-56.944481088193456
VPS13D,-65.44689226392224
DHRS3,-77.43673656813006
PDPN,-87.1206845943915
PRDM2,-71.93927118318219
KAZN,-62.67040442533637
TMEM51,-70.21481823062234
FHAD1,-64.79504450794325
EFHD2,-55.19135783478268
CTRC,-57.199471862014306
CELA2A,-36.318778858476875
CELA2B,-54.92751525745368
CASP9,-62.18998764618452
DNAJC16,-64.65898624773877
AGMAT,-64.98649271953535
DDI2,-73.18447662416077
PLEKHM2,-59.94565539263128
SLC25A34,-67.70296597797334
FBLIM1,-60.27843739006106
UQCRHL,-73.13906141642019
SPEN,-68.6265241478622
ZBTB17,-58.9243218108908
HSPB7,-32.058874831664525
EPHA2,-75.38863419810791
ARHGEF19,-60.82763239494784
RSG1,-63.48911877239095
FBXO42,-48.00207480476213
SZRD1,-62.93258171647125
NECAP2,-52.6702321522944
NBPF1,-69.32616386026004
CROCC,-53.13561167472916
ATP13A2,-73.67114306831817
SDHB,-62.962191580558894
PADI2,-62.231480146397885
PADI4,-59.74053619179416
PADI6,-63.111806468271325
RCC2,-67.44702475650595
ARHGEF10L,-51.3640750397431
IGSF21,-53.42622549943458
ALDH4A1,-52.684351116540256
IFFO2,-55.486302685207846
UBR4,-82.92804526222949
EMC1,-49.79928517281141
MRTO4,-74.92992610671686
AKR7A3,-54.984073993401
AKR7A2,-77.52170648955631
PQLC2,-57.52116419968969
CAPZB,-76.26098138331307
MINOS1,-54.682351471505314
NBL1,-65.66661105603363
HTR6,-60.03189186911189
