SAMD11,-66.14746822802239
NOC2L,-102.934937839392
KLHL17,-61.27521560917535
PLEKHN1,-96.56634504296454
PERM1,-85.1430469148563
HES4,-71.87146680922304
ISG15,-67.20733540395983
AGRN,-88.8835189994563
RNF223,-70.55604249056798
C1orf159,-107.15217300423667
TTLL10,-73.42628486017648
TNFRSF18,-89.16397393973358
TNFRSF4,-72.56836280922191
SDF4,-100.72674599959927
B3GALT6,-90.10771382233604
C1QTNF12,-76.02945567373588
UBE2J2,-79.06845756165549
SCNN1D,-92.57733854408124
ACAP3,-73.32223039349105
PUSL1,-72.76342915683269
INTS11,-78.51237524057623
CPTP,-79.2939983254945
TAS1R3,-77.68368913300417
DVL1,-74.93754143899584
MXRA8,-86.62881237972543
AURKAIP1,-69.76541623942198
CCNL2,-68.10530609845506
MRPL20,-84.1297656710305
ANKRD65,-79.77755609958838
TMEM88B,-72.2144731828915
VWA1,-86.56848040400659
ATAD3C,-82.20606588085943
ATAD3B,-86.1218174909673
ATAD3A,-72.11112710602465
TMEM240,-67.4467044377118
SSU72,-89.12048671699152
FNDC10,-69.39356457452669
MIB2,-92.40169381717618
MMP23B,-85.81631202272119
CDK11B,-102.79012226964252
SLC35E2B,-66.7103688744156
CDK11A,-68.22832258627511
SLC35E2,-64.49796108280492
NADK,-104.53026841251437
GNB1,-83.9692802102415
CALML6,-84.37521999526794
TMEM52,-75.732055275794
CFAP74,-68.82199438770824
GABRD,-84.06141365951638
PRKCZ,-88.54804570192124
FAAP20,-75.38381857541948
SKI,-89.53502297018366
MORN1,-70.72691882476713
RER1,-79.63941022071913
PEX10,-84.22405728424411
PLCH2,-75.03143645583575
PANK4,-75.17165340610654
HES5,-75.10225228541738
TNFRSF14,-81.98848458773979
FAM213B,-93.86657393763741
MMEL1,-73.2962539452011
TTC34,-74.12078164107538
PRDM16,-62.96800736079035
ARHGEF16,-82.24237283484825
MEGF6,-73.91350109429794
TPRG1L,-77.56989723050793
TP73,-77.67833588166508
WRAP73,-78.54453806634581
SMIM1,-78.9106476135103
LRRC47,-104.05926263787399
CEP104,-70.32069572948343
DFFB,-68.24249087646922
C1orf174,-63.5855451593187
AJAP1,-74.54243600639329
KCNAB2,-65.9772919423286
NPHP4,-95.62423903520836
CHD5,-98.24321087172933
RNF207,-57.840044279263836
RPL22,-93.30413692853145
ICMT,-77.6081415467167
GPR153,-74.70029550216556
ACOT7,-87.03611810314712
HES2,-67.27500788678799
ESPN,-67.3627604290009
TNFRSF25,-75.02301592844482
PLEKHG5,-79.91194904230255
NOL9,-82.47646801474421
TAS1R1,-76.83503211814585
ZBTB48,-92.57003929506847
PHF13,-100.26114372170775
KLHL21,-96.27704963363564
THAP3,-69.07262628323319
DNAJC11,-73.82735929298279
CAMTA1,-62.88419268641556
VAMP3,-72.42551545784283
PER3,-64.3838124196605
PARK7,-82.66302472149704
ERRFI1,-74.9909374932442
SLC45A1,-73.02670225285839
RERE,-75.02225671976767
ENO1,-90.10937849420495
CA6,-76.45432792271494
SLC2A5,-75.06038996640505
GPR157,-68.14695428185902
H6PD,-89.37430193129623
SPSB1,-97.13810723815953
SLC25A33,-73.85148998146846
TMEM201,-93.9954792295516
PIK3CD,-50.80525683223078
CLSTN1,-67.3034891656421
CTNNBIP1,-75.36191728777285
LZIC,-89.81162365470337
NMNAT1,-81.51749124491793
RBP7,-70.60618716208904
UBE4B,-104.04123218199456
KIF1B,-77.42524318481163
PGD,-65.39523274279179
CENPS,-78.65153467036737
CORT,-77.32618666448492
DFFA,-94.46208758727226
PEX14,-111.50847128052136
CASZ1,-77.9166814691988
C1orf127,-69.05166048499704
TARDBP,-91.39853764108872
MASP2,-83.79636769018482
SRM,-95.84203673520008
EXOSC10,-76.15712029191397
ANGPTL7,-81.209642894576
MTOR,-70.73073785526677
UBIAD1,-85.73427118724084
FBXO44,-93.3054020827189
FBXO2,-61.134638607055294
FBXO6,-73.9983063899776
MAD2L2,-95.99020584223712
DRAXIN,-75.93996701689503
AGTRAP,-75.60485999105319
MTHFR,-79.60890719621884
CLCN6,-74.47694755186062
NPPA,-69.02690635127989
NPPB,-66.6713698803752
KIAA2013,-88.39926272735103
PLOD1,-72.46373807665763
MFN2,-101.93284411438927
MIIP,-72.04085189629757
TNFRSF8,-73.64759714833332
TNFRSF1B,-79.11184294283298
VPS13D,-81.50589407702292
DHRS3,-96.57924120321205
AADACL3,-68.35215287673688
LRRC38,-78.72476035860853
PDPN,-81.27766332844007
PRDM2,-69.25503851242674
KAZN,-79.98165978683626
TMEM51,-89.39129976648759
FHAD1,-67.837242543158
EFHD2,-90.02205021940281
CTRC,-42.65199770116817
CELA2A,-36.61019618684006
CELA2B,-71.65179624215733
CASP9,-69.15549129424987
DNAJC16,-76.69152911054955
AGMAT,-71.61513141033171
DDI2,-71.08693174346593
PLEKHM2,-78.03486243789372
SLC25A34,-74.68711696671457
FBLIM1,-75.76433134136563
UQCRHL,-66.0720733424628
SPEN,-89.76142382940367
ZBTB17,-89.91441753649019
CLCNKA,-90.31489483803878
HSPB7,-70.32283692463405
CLCNKB,-78.57343518899553
FAM131C,-71.86273949498906
EPHA2,-71.36852814411937
ARHGEF19,-75.97843791684542
RSG1,-79.3061331376347
FBXO42,-68.79650049494995
SZRD1,-99.4400403115019
SPATA21,-70.3750999447191
NECAP2,-87.73933456593578
NBPF1,-71.47483557966594
CROCC,-93.68386489431617
MFAP2,-55.95886370402435
ATP13A2,-92.29948874664714
SDHB,-75.32697289063299
PADI2,-78.05254254021513
PADI1,-74.05084572926765
